Academy,General Location,Specific Location,Observation
Coughlin Construction Academy,Plumbing,Floor,Above Average
Coughlin Construction Academy,Carpentry,Handsaw,Above Average
Alden Academy,Auto Collision,Tape measure,Below Average
Alden Academy,Auto Technology,Pipe tool,Average
Alden Academy,Welding,Bench,Above Average
Coughlin Construction Academy,Hvac/R,Squeeze tool,Below Average
Alden Academy,Robotics & Automation Technology,Pipe,Average
Allied Health and Human Services Academy,Allied Health,Stethoscope,Below Average
IT and Business Services Academy,Programming & Web Development,Keyboard,Below Average
Allied Health and Human Services Academy,Veterinary Assisting,Dog bowl,Below Average
Allied Health and Human Services Academy,Veterinary Assisting,Grooming table,Above Average
N/A,Railing,N/A,Above Average
N/A,Cafeteria,pin pad in Cafe,Average
IT and Business Services Academy,Culinary Arts,culinary cleaning rag,Spore Colonies
IT and Business Services Academy,Environmental Tech,aquarium lid,Above Average
Allied Health and Human Services Academy,Cosmetology,cosmo sink,Average
Coughlin Construction Academy,Plumbing,pipe material,Above Average
Alden Academy,Auto Technology,rim,Above Average
N/A,Railing,c/d railing,Above Average
Coughlin Construction Academy,Welding,top of welding machine,Spore Colonies
Alden Academy,Painting & Design,sink,Average
Coughlin Construction Academy,Hvac/R,pliers,Below Average
Coughlin Construction Academy,Robotics & Automation Technology,game button,Average
Allied Health and Human Services Academy,Allied Health,Pulse oxymeter,Above Average
Allied Health and Human Services Academy,Veterinary Assisting,dogs paw,Above Average
Allied Health and Human Services Academy,Early Childhood,chair,Average
IT and Business Services Academy,Hospitality Management,Pin Pad in Cafe,Spore Colonies
IT and Business Services Academy,Culinary Arts,Culinary Wash Sink,Below Average
IT and Business Services Academy,Hospitality Management,Hospitality glass cup,Below Average
N/A,Lobby,Piano,Below Average
Allied Health and Human Services Academy,Cosmetology,Cosmetology Sink,Average
Coughlin Construction Academy,Plumbing,Plumbing Label,Above Average
Coughlin Construction Academy,Carpentry,Carpentry Saw Hang,Below Average
Alden Academy,Auto Technology,Auto Tech Work Tables,Spore Colonies
Alden Academy,Welding,Welding Vent Tube,Above Average
Coughlin Construction Academy,Hvac/R,HVAC Water from Pipe,Average
N/A,Railing,Railing B-C,Below Average
Allied Health and Human Services Academy,Allied Health,Allied Health Basen,Average
IT and Business Services Academy,Graphic Communication,T-Shirt maker,Below Average
Allied Health and Human Services Academy,Veterinary Assisting,Vet Tech water Bowl,Below Average
Allied Health and Human Services Academy,Environmental Tech,Environmental,Spore Colonies
